pizza_id,order_id,pizza_name,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,num_of_ingredients
1,1,The Pepperoni Pizza,1,01/03/2015,11:34,12.5,,M,Classic,2
2,2,The Southwest Chicken Pizza,1,01/03/2015,11:49,12.75,,S,Chicken,8
3,3,The Four Cheese Pizza,1,01/03/2015,12:08,17.95,,L,Veggie,5
4,3,The Italian Supreme Pizza,1,01/03/2015,12:08,16.5,,M,Supreme,6
5,3,The Vegetables + Vegetables Pizza,1,01/03/2015,12:08,20.25,,L,Veggie,8
6,4,The Barbecue Chicken Pizza,1,01/03/2015,12:33,20.75,,L,Chicken,6
7,4,The California Chicken Pizza,1,01/03/2015,12:33,20.75,,L,Chicken,7
8,5,The Green Garden Pizza,1,01/03/2015,12:47,12,,S,Veggie,5
9,5,The Vegetables + Vegetables Pizza,1,01/03/2015,12:47,12,,S,Veggie,8
10,6,The Mediterranean Pizza,1,01/03/2015,12:51,20.25,,L,Veggie,7
11,7,The California Chicken Pizza,1,01/03/2015,12:52,16.75,,M,Chicken,7
12,7,The Hawaiian Pizza,1,01/03/2015,12:52,10.5,,S,Classic,3
13,7,The Sicilian Pizza,1,01/03/2015,12:52,20.25,,L,Supreme,6
14,7,The Southwest Chicken Pizza,1,01/03/2015,12:52,20.75,,L,Chicken,8
15,8,The Hawaiian Pizza,1,01/03/2015,13:25,10.5,,S,Classic,3
16,8,"The Pepperoni, Mushroom, and Peppers Pizza",1,01/03/2015,13:25,11,,S,Classic,3
17,8,The Spinach and Feta Pizza,1,01/03/2015,13:25,16,,M,Veggie,5
18,8,The Vegetables + Vegetables Pizza,1,01/03/2015,13:25,20.25,,L,Veggie,8
19,9,The Calabrese Pizza,1,01/03/2015,14:08,16.25,,M,Supreme,6
20,9,The California Chicken Pizza,1,01/03/2015,14:08,16.75,,M,Chicken,7
21,9,The Classic Deluxe Pizza,1,01/03/2015,14:08,16,,M,Classic,5
22,9,The Spinach and Feta Pizza,1,01/03/2015,14:08,16,,M,Veggie,5
23,9,The Spinach and Feta Pizza,1,01/03/2015,14:08,12,,S,Veggie,5
24,10,The Pepperoni Pizza,1,01/03/2015,14:20,12.5,,M,Classic,2
25,11,The Vegetables + Vegetables Pizza,1,01/03/2015,14:39,16,,M,Veggie,8
26,12,The Green Garden Pizza,1,01/03/2015,14:40,12,,S,Veggie,5
27,13,The Five Cheese Pizza,1,01/03/2015,14:41,18.5,,L,Veggie,6
28,14,The Five Cheese Pizza,1,01/03/2015,14:56,18.5,,L,Veggie,6
29,14,The Green Garden Pizza,1,01/03/2015,14:56,12,,S,Veggie,5
30,15,The Spinach Pesto Pizza,1,01/03/2015,15:10,12.5,,S,Veggie,6
31,15,The Spinach and Feta Pizza,1,01/03/2015,15:10,20.25,,L,Veggie,5
32,16,The Hawaiian Pizza,1,01/03/2015,15:20,10.5,,S,Classic,3
33,16,The Southwest Chicken Pizza,1,01/03/2015,15:20,20.75,,L,Chicken,8
34,16,The Thai Chicken Pizza,1,01/03/2015,15:20,20.75,,L,Chicken,5
35,16,The Vegetables + Vegetables Pizza,1,01/03/2015,15:20,12,,S,Veggie,8
36,17,The Big Meat Pizza,1,01/03/2015,15:47,12,,S,Classic,4
37,17,The Southwest Chicken Pizza,1,01/03/2015,15:47,16.75,,M,Chicken,8
38,18,The Classic Deluxe Pizza,1,01/03/2015,15:57,20.5,,L,Classic,5
39,18,The Italian Supreme Pizza,1,01/03/2015,15:57,16.5,,M,Supreme,6
40,19,The Four Cheese Pizza,1,01/03/2015,16:58,17.95,,L,Veggie,5
41,19,The Prosciutto and Arugula Pizza,1,01/03/2015,16:58,12.5,,S,Supreme,3
42,20,The Italian Capocollo Pizza,1,01/03/2015,17:04,12,,S,Classic,6
43,20,The Spicy Italian Pizza,1,01/03/2015,17:04,16.5,,M,Supreme,6
44,21,The Big Meat Pizza,1,01/03/2015,17:04,12,,S,Classic,4
45,22,The Four Cheese Pizza,1,01/03/2015,17:06,14.75,,M,Veggie,5
46,22,The Pepperoni Pizza,1,01/03/2015,17:06,12.5,,M,Classic,2
47,22,The Pepper Salami Pizza,1,01/03/2015,17:06,16.5,,M,Supreme,6
48,23,The Five Cheese Pizza,1,01/03/2015,17:29,18.5,,L,Veggie,6
49,23,The Napolitana Pizza,1,01/03/2015,17:29,16,,M,Classic,5
50,24,The Spicy Italian Pizza,1,01/03/2015,17:42,12.5,,S,Supreme,6
51,25,The Chicken Pesto Pizza,1,01/03/2015,17:48,20.75,,L,Chicken,6
52,25,The Five Cheese Pizza,1,01/03/2015,17:48,18.5,,L,Veggie,6
53,25,The Hawaiian Pizza,1,01/03/2015,17:48,16.5,,L,Classic,3
54,25,The Spinach Pesto Pizza,1,01/03/2015,17:48,12.5,,S,Veggie,6
55,26,The Barbecue Chicken Pizza,1,01/03/2015,17:52,20.75,,L,Chicken,6
56,26,The Italian Capocollo Pizza,1,01/03/2015,17:52,20.5,,L,Classic,6
57,27,The Spicy Italian Pizza,1,01/03/2015,18:07,20.75,,L,Supreme,6
58,28,The Southwest Chicken Pizza,1,01/03/2015,18:08,20.75,,L,Chicken,8
59,28,The Greek Pizza,1,01/03/2015,18:08,16,,M,Classic,6
60,29,The Four Cheese Pizza,1,01/03/2015,18:17,14.75,,M,Veggie,5
61,29,The Mexicana Pizza,1,01/03/2015,18:17,16,,M,Veggie,8
62,29,The Southwest Chicken Pizza,1,01/03/2015,18:17,12.75,,S,Chicken,8
63,29,The Spinach Pesto Pizza,1,01/03/2015,18:17,16.5,,M,Veggie,6
64,30,The Italian Capocollo Pizza,1,01/03/2015,18:19,12,,S,Classic,6
65,30,The Mediterranean Pizza,1,01/03/2015,18:19,20.25,,L,Veggie,7
66,31,The Pepperoni Pizza,1,01/03/2015,18:36,15.25,,L,Classic,2
67,31,The Pepper Salami Pizza,1,01/03/2015,18:36,16.5,,M,Supreme,6
68,32,The Italian Vegetables Pizza,1,01/03/2015,18:41,12.75,,S,Veggie,7
69,32,The Southwest Chicken Pizza,1,01/03/2015,18:41,16.75,,M,Chicken,8
70,33,The Italian Supreme Pizza,1,01/03/2015,18:44,16.5,,M,Supreme,6
71,34,The Sicilian Pizza,1,01/03/2015,18:56,16.25,,M,Supreme,6
72,34,The Spicy Italian Pizza,1,01/03/2015,18:56,20.75,,L,Supreme,6
73,35,The Spinach and Feta Pizza,1,01/03/2015,19:01,20.25,,L,Veggie,5
74,36,The California Chicken Pizza,1,01/03/2015,19:14,12.75,,S,Chicken,7
75,36,The Hawaiian Pizza,1,01/03/2015,19:14,16.5,,L,Classic,3
