gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,72,72.0,74
female,group C,some college,standard,completed,69,90.0,88
female,group B,master's degree,standard,none,90,95.0,93
male,group A,associate's degree,free/reduced,none,47,57.0,44
male,group C,some college,standard,none,76,78.0,75
female,group B,associate's degree,standard,none,71,83.0,78
female,group B,some college,standard,completed,88,95.0,92
male,group B,some college,free/reduced,none,40,43.0,39
male,group D,high school,free/reduced,completed,64,64.0,67
female,group B,high school,free/reduced,none,38,60.0,50
male,group C,associate's degree,standard,none,58,54.0,52
male,group D,associate's degree,standard,none,40,52.0,43
female,group B,high school,standard,none,65,81.0,73
male,group A,some college,standard,completed,78,72.0,70
female,group A,master's degree,standard,none,50,,58
female,group C,some high school,standard,none,69,75.0,78
male,group C,high school,standard,none,88,89.0,86
female,group B,some high school,free/reduced,none,18,32.0,28
male,group C,master's degree,free/reduced,completed,46,42.0,46
female,group C,associate's degree,free/reduced,none,54,58.0,61
male,group D,high school,standard,none,66,69.0,63
female,group B,some college,free/reduced,completed,65,75.0,70
male,group D,some college,standard,none,44,,53
female,group C,some high school,standard,none,69,73.0,73
male,group D,bachelor's degree,free/reduced,completed,74,71.0,80
male,group A,master's degree,free/reduced,none,73,74.0,72
male,group B,some college,standard,none,69,54.0,55
female,group C,bachelor's degree,standard,none,67,69.0,75
male,group C,high school,standard,none,70,70.0,65
female,group D,master's degree,standard,none,62,70.0,75
female,group D,some college,standard,none,69,74.0,74
female,group B,some college,standard,none,63,65.0,61
female,group E,master's degree,free/reduced,none,56,72.0,65
male,group D,some college,standard,none,40,42.0,38
male,group E,some college,standard,none,97,87.0,82
male,group E,associate's degree,standard,completed,81,81.0,79
female,group D,associate's degree,standard,none,74,81.0,83
female,group D,some high school,free/reduced,none,50,64.0,59
female,group D,associate's degree,free/reduced,completed,75,90.0,88
male,group B,associate's degree,free/reduced,none,57,56.0,57
male,group C,associate's degree,free/reduced,none,55,61.0,54
female,group C,associate's degree,standard,none,58,,68
female,group B,associate's degree,standard,none,53,58.0,65
male,group B,some college,free/reduced,completed,59,65.0,66
female,group E,associate's degree,free/reduced,none,50,56.0,54
male,group B,associate's degree,standard,none,65,54.0,57
female,group A,associate's degree,standard,completed,55,65.0,62
female,group C,high school,standard,none,66,71.0,76
female,group D,associate's degree,free/reduced,completed,57,74.0,76
male,group C,high school,standard,completed,82,84.0,82
male,group E,some college,standard,none,53,55.0,48
male,group E,associate's degree,free/reduced,completed,77,69.0,68
male,group C,some college,standard,none,53,44.0,42
male,group D,high school,standard,none,88,78.0,75
female,group C,some high school,free/reduced,completed,71,84.0,87
female,group C,high school,free/reduced,none,33,41.0,43
female,group E,associate's degree,standard,completed,82,85.0,86
male,group D,associate's degree,standard,none,52,55.0,49
male,group D,some college,standard,completed,58,59.0,58
